StartTime,EndTime,Latency,Success,RequestType,Content
1541114736074,1541114736492,418,false,POST,/62199/1/0/357
1541114736493,1541114736513,20,false,POST,/95377/1/0/2603
1541114736513,1541114736530,17,true,GET,/current/62199
1541114736551,1541114736597,46,false,POST,/75243/1/3/2198
1541114736597,1541114736615,18,false,POST,/21193/1/3/1002
1541114736615,1541114736635,20,true,GET,/current/75243
1541114736556,1541114736595,39,false,POST,/10412/1/3/3275
1541114736595,1541114736615,20,false,POST,/99281/1/3/4324
1541114736615,1541114736630,15,true,GET,/current/10412
1541114736546,1541114736584,38,false,POST,/66295/1/3/1657
1541114736584,1541114736603,19,false,POST,/7529/1/3/3586
1541114736603,1541114736625,22,true,GET,/current/66295
1541114736549,1541114736595,46,false,POST,/90176/1/3/4032
1541114736595,1541114736615,20,false,POST,/99116/1/3/3983
1541114736615,1541114736629,14,true,GET,/current/90176
1541114736552,1541114736599,47,false,POST,/50848/1/3/888
1541114736599,1541114736615,16,false,POST,/23863/1/3/1108
1541114736615,1541114736632,17,true,GET,/current/50848
1541114736657,1541114736730,73,false,POST,/45724/1/8/2266
1541114736730,1541114736744,14,false,POST,/58653/1/8/2285
1541114736744,1541114736768,24,true,GET,/current/45724
1541114736699,1541114736735,36,false,POST,/30126/1/8/2019
1541114736735,1541114736751,16,false,POST,/58708/1/8/1735
1541114736751,1541114736770,19,true,GET,/current/30126
1541114736680,1541114736738,58,false,POST,/86045/1/8/4012
1541114736738,1541114736760,22,false,POST,/61667/1/8/1114
1541114736760,1541114736790,30,true,GET,/current/86045
1541114736680,1541114736750,70,false,POST,/66704/1/8/4467
1541114736750,1541114736765,15,false,POST,/15950/1/8/3926
1541114736765,1541114736788,23,true,GET,/current/66704
1541114736701,1541114736740,39,false,POST,/83021/1/8/3711
1541114736740,1541114736760,20,false,POST,/76987/1/8/365
1541114736760,1541114736782,22,true,GET,/current/83021
1541114736674,1541114736739,65,false,POST,/24017/1/8/4405
1541114736739,1541114736756,17,false,POST,/56656/1/8/3050
1541114736756,1541114736778,22,true,GET,/current/24017
1541114736691,1541114736741,50,false,POST,/16298/1/8/1568
1541114736741,1541114736760,19,false,POST,/95714/1/8/1644
1541114736760,1541114736787,27,true,GET,/current/16298
1541114736693,1541114736736,43,false,POST,/22188/1/8/4010
1541114736736,1541114736752,16,false,POST,/62335/1/8/1095
1541114736752,1541114736772,20,true,GET,/current/22188
1541114736693,1541114736734,41,false,POST,/70118/1/8/825
1541114736735,1541114736752,17,false,POST,/46790/1/8/1981
1541114736753,1541114736769,16,true,GET,/current/70118
1541114736698,1541114736738,40,false,POST,/83219/1/8/3490
1541114736738,1541114736759,21,false,POST,/71350/1/8/383
1541114736759,1541114736778,19,true,GET,/current/83219
1541114736801,1541114736832,31,false,POST,/71576/1/19/1303
1541114736833,1541114736847,14,false,POST,/29849/1/19/3158
1541114736847,1541114736860,13,true,GET,/current/71576
1541114736799,1541114736832,33,false,POST,/42044/1/19/3860
1541114736833,1541114736848,15,false,POST,/94222/1/19/391
1541114736848,1541114736862,14,true,GET,/current/42044
