26,3
27,12
28,86
29,330
30,48
31,30
32,11
33,19
34,44
35,231
36,709
37,1377
38,5315
39,17869
40,2615
41,1239
42,606
43,257
44,163
45,124
46,142
47,134
48,230
49,547
50,122
51,59
52,42
53,54
54,157
55,78
56,74
57,54
58,185
59,529
60,91
61,53
62,41
63,39
64,111
65,48
66,24
67,33
68,109
69,298
70,43
71,28
72,12
73,10
74,14
75,7
76,9
77,16
78,27
79,55
80,19
81,13
82,10
83,10
84,11
85,6
86,8
87,2
88,9
89,20
90,3
91,2
92,4
93,4
94,5
95,2
96,5
97,7
98,5
99,8
100,7
101,2
102,4
103,2
104,2
105,3
106,5
107,2
108,7
109,9
110,2
111,1
112,1
113,2
114,3
115,2
116,5
117,4
118,7
119,2
120,2
122,2
123,3
125,2
126,5
127,3
128,2
129,4
130,3
131,2
133,1
134,3
135,2
136,2
137,3
138,5
139,18
140,5
141,4
142,1
143,1
145,2
146,1
147,6
148,10
149,26
150,6
151,8
152,4
153,6
154,11
155,4
156,10
157,14
158,89
159,229
160,55
161,31
162,23
163,10
164,13
165,10
166,26
167,46
168,131
169,269
170,67
171,29
172,21
173,10
174,9
175,6
176,5
177,14
178,19
179,36
180,14
181,8
182,4
183,2
184,3
185,2
186,4
187,6
188,11
189,26
190,5
191,10
192,6
193,4
194,4
195,3
196,5
197,3
198,12
199,14
200,7
201,6
202,2
203,1
205,2
206,3
207,1
208,4
209,6
210,2
211,2
212,1
214,1
215,1
218,5
219,7
222,1
223,1
228,2
229,7
230,1
231,3
232,2
233,1
234,1
238,7
239,14
240,4
241,2
242,2
243,2
246,2
247,3
249,12
252,1
253,2
254,3
255,2
256,3
257,2
258,6
259,8
261,2
265,2
267,2
268,1
269,2
271,1
272,1
277,2
278,5
279,5
280,2
282,2
283,1
284,3
285,1
286,7
287,11
288,19
289,50
290,7
291,4
292,2
293,1
294,1
295,2
296,2
297,2
298,8
299,28
300,4
301,3
302,1
304,1
305,2
306,4
307,3
308,12
309,23
310,8
311,4
312,1
315,2
316,1
317,1
318,3
319,2
322,1
327,1
328,4
329,5
330,1
332,2
334,1
337,1
338,1
339,7
340,3
341,2
343,2
345,2
346,1
347,1
348,5
349,9
351,5
352,1
353,1
354,1
355,1
356,1
357,1
358,2
359,5
361,1
362,2
363,1
364,2
365,1
366,1
367,1
368,2
369,5
370,3
372,1
373,1
375,2
379,2
384,1
385,1
396,1
407,1
422,1
429,1
430,1
433,3
434,1
443,1
444,1
445,1
449,1
459,1
461,1
464,1
465,1
466,1
467,1
473,1
474,1
477,1
479,1
487,1
488,1
491,1
492,1
493,1
498,3
499,2
502,1
504,1
506,1
508,3
509,8
510,4
511,2
516,1
519,1
520,1
522,1
524,1
525,1
528,1
529,3
531,1
532,2
535,5
536,3
537,1
538,1
539,7
545,1
551,1
554,1
559,2
561,1
562,1
563,1
564,1
565,3
568,1
569,2
572,1
576,1
587,1
593,1
598,1
619,1
625,1
649,1
657,1
659,2
664,1
665,1
670,1
673,1
689,1
699,1
723,1
729,1
749,1
760,1
761,1
769,3
773,1
774,1
783,1
784,1
785,1
787,3
788,1
789,1
790,4
793,1
799,4
801,1
803,1
807,1
808,2
809,6
810,1
812,1
818,2
820,1
821,1
827,1
839,1
843,1
846,2
848,2
849,1
860,1
863,1
892,1
897,1
907,1
910,1
947,1
949,1
970,1
976,1
978,1
979,1
988,1
989,2
998,1
999,1
1005,1
1033,1
1047,1
1130,1
1134,1
1149,1
1164,1
1169,1
1186,1
1249,1
1275,1
1290,1
1356,1
1373,1
1376,1
1397,1
1436,1
1479,1
1487,1
1537,1
1543,1
1606,1
1685,1
1712,1
1755,1
1786,1
1790,1
1830,1
1840,1
1875,1
1898,1
1913,1
1920,1
2030,1
2051,1
2070,1
2139,1
2175,1
2239,1
2479,1
2490,1
2597,1
2724,1
2789,1
2821,1
3026,1
3169,1
3172,1
3209,1
3305,1
3365,1
3612,1
4020,1
4126,1
5235,1
5727,1
7002,1
7104,1
8197,1
8290,1
9014,1
